spec_id,cell_name_label,slice,Block,Donor,structure,lobe,condition,condition2,morpho_call,topLeaf,upstroke_downstroke_ratio_ramp,threshold_v_ramp,width_ramp,width_suprathresh_ramp,upstroke_ramp,downstroke_ramp,postap_slope_ramp,threshold_i_ramp,trough_deltav_ramp,fast_trough_deltav_ramp,peak_deltav_ramp,upstroke_downstroke_ratio_short_square,threshold_v_short_square,width_short_square,width_suprathresh_short_square,upstroke_short_square,downstroke_short_square,postap_slope_short_square,fast_trough_deltav_short_square,peak_deltav_short_square,v_baseline,rheobase_i,fi_fit_slope,sag,sag_peak_t,sag_area,vm_for_sag,input_resistance,tau,latency_rheo,avg_rate_rheo,mean_isi_rheo,upstroke_downstroke_ratio_rheo,threshold_v_rheo,width_rheo,width_suprathresh_rheo,upstroke_rheo,downstroke_rheo,postap_slope_rheo,fast_trough_v_last_rheo,adp_v_last_rheo,adapt_hero,avg_rate_hero,latency_hero,mean_isi_hero,median_isi_hero,isi_cv_hero,isi_norm_sq_var_hero,upstroke_downstroke_ratio_hero,threshold_v_hero,width_hero,width_suprathresh_hero,upstroke_hero,downstroke_hero,postap_slope_hero,ahp_delay_ratio_hero,sag_depol,sag_peak_t_depol,sag_area_depol,adapt_mean,isi_cv_mean,isi_norm_sq_var_mean,adapt_max,isi_cv_max,isi_norm_sq_var_max,isi_adapt_ratio,width_adapt_ratio,upstroke_adapt_ratio,downstroke_adapt_ratio,peak_v_adapt_ratio,threshold_v_adapt_ratio,fast_trough_v_adapt_ratio,ahp_delay_ratio_5spike,trough_slowdeltav_rheo,trough_slowdeltav_hero,trough_deltav_rheo,trough_deltav_hero,fast_trough_deltav_rheo,fast_trough_deltav_hero,peak_deltav_rheo,peak_deltav_hero,first_isi_inv_rheo,first_isi_inv_hero,sag_tau,peak_ratio_chirp,peak_freq_chirp,3db_freq_chirp,peak_impedance_chirp,low_freq_impedance_chirp,sync_freq_chirp,phase_peak_chirp,phase_low_chirp,total_inductive_phase_chirp
652080528,H17.06.015.11.06.06,H17.06.015.11.06,H17.06.015.11,H17.06.015,TemL,TemL,acute,acute,,Inh L1-3 SST CALB1,2.20753049,-42.56250381,0.00072,0.00066,259.6321271,-117.6120232,-0.262231865,10.375,-16.78124619,-9.71875,71.03125572,2.179621577,-42.93750381,0.00074,0.00068,246.8065795,-113.2336833,-0.58987086,-8.71875,70.68750572,-57.01652718,10,0.4875,0.558592796,0.0311,0.827258984,-82.25000763,198.1251091,0.017743787,0.07994,5,0.21566,2.218885898,-43.50000381,0.00074,0.00068,249.3925152,-112.3953762,-0.001136046,-51.40625381,,0.014387934,25,0.01426,0.040113333,0.04004,0.146692443,0.000893144,2.155869188,-43.78125,0.0007,0.00066,253.7165018,-117.6864085,0.30132876,0.274690124,,,,0.03275054,0.15613314,0.003449258,0.075731155,0.172158209,0.008383723,1.578273299,1.054054054,0.888405395,0.963935555,0.91544539,0.977729799,0.99453552,0.143312563,-7.0625,-0.249996185,-15.03125,-7.8125,-7.96875,-7.562503815,71.21875381,71.46875191,5.718860803,38.75968992,0.028961447,1.207201838,3.201280512,8.703481393,0.241646215,0.200170517,1.400560224,-0.25120151,0.12547484,0.006554732
674650727,H18.03.005.11.06.05,H18.03.005.11.06,H18.03.005.11,H18.03.005,STG,TemL,acute,acute_immune,,Inh L1-3 SST CALB1,3.014080947,-43.46875,0.00088,0.0008,335.3658071,-111.2663571,0.965612076,34.625,-12.62500381,-12.53125,91.46875,3.015257484,-41.28125381,0.00078,0.0007,369.5532634,-122.5610965,0.169844404,-16.5625,87.12500763,-62.83636202,20,0.253571426,0.3390809,0.08376,1.437165313,-82.87500763,247.6564348,0.032345936,0.59102,1,,3.153044943,-42.46875381,0.0009,0.00082,334.8055654,-106.1848377,0.503160235,-55.96875381,-53.78125381,0.011199354,18,0.05364,0.055230588,0.05078,0.16204241,0.001084567,2.914202116,-41.15625,0.00084,0.00074,339.9783507,-116.6625845,0.57102058,0.031920748,,,,0.009449694,0.172880611,0.000756447,0.011199354,0.188676461,0.001084567,0.920959497,1.261904762,0.575998413,0.740370375,0.832432515,0.891419894,0.902650022,0.031920748,-0.25,-0.3125,-13.75,-16.93750381,-13.5,-16.62500381,90.21875763,87.40625,,19.69279244,0.099389519,1,0.400160064,2.300920368,0.323488593,0.323488593,0.400160064,-0.256328791,-0.256328791,0
1079573757,H21.03.302.11.51.01.03,H21.03.302.11.51.01,H21.03.302.11,H21.03.302,MTG,TemL,culture,culture,Basket,Inh L1-3 SST CALB1,2.272804808,-34.69791794,0.000815,0.00068,222.2002963,-98.41988314,-0.62239033,38.29166667,-19.01041794,-17.88541667,57.65625254,2.08118296,-29.90625,0.000855,0.00061,189.8199431,-91.20771539,-1.071260254,-28.18750381,43.90625,-64.04518191,24,0.465794765,0.293782175,0.059165,2.229832812,-99.75000763,255.2929223,0.024902903,0.729445,1,,2.220343466,-35.43750381,0.00087,0.000715,187.7295576,-84.54978273,-1.074854883,-52.3125,,-0.0010204,25,0.07967,0.038330833,0.0389475,0.083844504,0.001408642,2.20020548,-33.84375381,0.000865,0.000705,188.1879251,-85.53197725,-0.610806111,0.065829617,0.033424776,0.62461,0,-0.005753414,0.063722169,0.00077067,0.000279682,0.108758243,0.001408642,0.833248421,1.025252525,0.808811135,0.918856631,0.991735538,0.92102929,0.921099826,0.115293989,-1.906253815,-0.78125,-18.78125,-18.46874619,-16.87499619,-17.68749619,51.59375381,50.84375381,,22.21481728,0.145414401,1,0.459510254,39.51788184,0.503378034,0.503378034,35.38228956,-0.161651969,-0.161651969,0.019474074
734995812,H18.03.314.12.02.02,H18.03.314.12.02,H18.03.314.12,H18.03.314,MTG,TemL,culture,culture,,Inh L1-3 SST CALB1,,,,,,,,,,,,3.467437389,-28.52583453,0.000897333,0.000744,439.7288396,-126.8857685,0.000783787,-26.6487512,86.27375399,-57.2246624,40,0.107758615,0.213389918,0.08464,0,-72.6625061,195.1420456,0.026013648,0.222,2,0.32542,3.12245312,-32.18124771,0.0009,0.00076,372.133442,-119.1798332,0.221963916,-53.21875381,-50.20000458,0.004653884,17,0.03008,0.057365,0.05641,0.085397613,0.001881319,3.241411883,-34.84375,0.00088,0.00076,403.7103796,-124.5476953,0.362466054,0.034236805,0.263144106,0.27394,0,0.027649815,0.092996118,0.004284775,0.058921931,0.170687409,0.005547005,1.266623973,1.044444444,0.817913231,0.94701924,0.942164687,0.935484006,0.981988252,0.008510997,-0.25,-0.075000763,-21.86875534,-21.94375229,-21.61875534,-21.86875153,84.13750076,86.72499847,3.072951878,20.50861362,,,,,,,,,,
717044970,H18.26.404.11.05.01.01,H18.26.404.11.05.01,H18.26.404.11,H18.26.404,MTG,TemL,acute,acute,,Inh L1-3 SST CALB1,1.871227065,-40.76041794,0.000706667,0.000606667,269.4842606,-144.2016804,-0.223031717,9.25,-20.35416667,-19.50000127,76.11458715,2.145857135,-42.80625076,0.000676,0.00058,300.6533503,-140.1589555,-0.586998052,-19.73750229,74.13750267,-64.13537169,40,0.421428571,0.608124554,0.03098,1.340590781,-99.90625763,351.0938585,0.017265579,0.01288,31,0.032717333,1.984771769,-43.15625,0.00072,0.0006,305.4687753,-153.9062476,0,-59.8125,,0.003238567,50,0.00758,0.019915918,0.0199,0.062817898,0.000871421,2.088138368,-43.46875,0.00068,0.00058,292.7644396,-140.2035632,1.169428153,0.104540655,,,,0.002684473,0.066781284,0.000768709,0.003238567,0.091724162,0.000871421,1.233082707,1.055555556,0.813299213,0.923857939,0.925307664,0.908037742,0.994900561,0.077124183,-0.3125,-0.15625,-18.43750381,-16.65625381,-18.12500381,-16.50000381,78.71875,75.59375,37.65060241,72.15007215,0.030692999,,,,,,,,,
718211624,H18.28.021.11.04.01,,H18.28.021.11,H18.28.021,FroL,FroL,acute,acute_immune,,Inh L1-3 SST CALB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759960718,H18.28.026.12.07.01,,H18.28.026.12,H18.28.026,TemL,TemL,acute,acute,,Inh L1-3 SST CALB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689306781,H18.03.009.11.16.02,H18.03.009.11.16,H18.03.009.11,H18.03.009,MTG,TemL,acute,acute_immune,DBC,Inh L1-3 SST CALB1,1.478495863,-30.45833588,0.00134,0.001013333,85.34580092,-55.13661051,-1.264797186,79.08333333,-20.95833333,-18.3541654,44.00000318,2.746336419,-42.73125305,0.000788,0.000704,290.8107367,-105.8898699,-0.429487619,-13.14374771,73.68125458,-62.66324393,20,0.26526946,0.376401275,0.04586,1.494635469,-93.87500763,246.5624511,0.022859149,0.0856,2,0.21874,2.363968063,-40.59375,0.00086,0.00076,229.9427025,-97.26980075,-1.494248593,-53.31250381,,0.023030714,16,0.0224,0.061162667,0.06322,0.14114895,0.002311224,2.579386543,-41.65625381,0.00082,0.00072,261.3905393,-101.3382581,-0.058030374,0.169831224,,,,0.029720839,0.116257593,0.002982105,0.087798742,0.184606895,0.007708619,1.425628141,1.195121951,0.651799697,0.76402117,0.805585405,0.899474786,0.957997769,0.169831224,-4.25,-0.25,-18.62500381,-12.90624619,-14.37500381,-12.65624619,68.59375,70.75000572,4.571637561,25.18891688,0.047448483,1,0.400160064,3.201280512,0.385880053,0.385880053,0.400160064,-0.01843391,-0.01843391,0
681573981,H18.29.124.11.02.04,,H18.29.124.11,H18.29.124,ITG,TemL,acute,acute,,Inh L1-3 SST CALB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728418445,H18.29.127.11.32.01,,H18.29.127.11,H18.29.127,SPL,ParL,acute,acute_immune,,Inh L1-3 SST CALB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681546151,H18.29.123.11.01.02,,H18.29.123.11,H18.29.123,TemL,TemL,acute,acute,DBC,Inh L1-3 SST CALB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819116654,h19.03.002.12.01.01.01.03,h19.03.002.12.01.01.01,h19.03.002.12,h19.03.002,MTG,TemL,culture,culture,,Inh L1-3 SST CALB1,2.651446087,-42.56041718,0.001033333,0.000866667,245.7798983,-92.69499222,-0.840164215,14.70833302,-23.55625153,-22.22500102,69.13750076,2.647530407,-43.67500305,0.00104,0.00086,258.5673689,-97.66360691,-0.841996313,-24,69.90000534,-69.74225807,20,0.675000013,0.428155214,0.05986,1.369899688,-95.2250061,464.5248652,0.018374872,0.04564,13,0.073295,2.63675167,-43.18124771,0.00102,0.00086,264.270544,-100.2257994,-0.909565974,-63.79999924,,0.002489235,41,0.01154,0.024518,0.0245,0.055463693,0.000945777,2.662125035,-43.09375381,0.001,0.00086,261.2392393,-98.13184423,-0.307850934,0.1352657,0.332763672,0.11198,1.508753906,0.00237621,0.0552957,0.000771844,0.003977375,0.061274655,0.001005245,1.131022823,1.019607843,0.876424867,0.933186646,0.945084173,0.950499417,0.971165793,0.094071806,-1.262512207,-0.349998474,-23.97500992,-20.09375,-22.71249771,-19.74375153,71.40624809,70.86250305,14.09244645,48.92367906,0.065062862,,,,,,,,,
819194697,h19.03.002.12.01.01.02.01,h19.03.002.12.01.01.02,h19.03.002.12,h19.03.002,MTG,TemL,culture,culture,,Inh L1-3 SST CALB1,1.818622071,-29.18958473,0.00062,0.000506667,280.4076106,-154.1214134,1.113267563,39.58333333,-24.01458295,-22.0750014,64.19791985,2.049278989,-33.95625305,0.00056,0.00048,354.880604,-173.173397,1.433038896,-20.66874695,72.2250061,-60.03258237,40,0.334999993,0.482347518,0.03882,0.959959609,-82.95000458,214.7333324,0.019908757,0.08664,3,0.27515,1.996992905,-31.33125305,0.0006,0.0005,320.9826298,-160.7329846,0.24858034,-51.35625076,-49.29375458,0.021266153,17,0.03018,0.06014625,0.06293,0.15780155,0.00124332,1.983443585,-32.98750305,0.00058,0.00048,326.5401473,-164.6329393,1.423315303,0.023782876,0.38292253,0.20824,1.714489531,0.101540454,0.212157002,0.027618733,0.324295839,0.324295839,0.105167791,1.466866467,1.137931034,0.736010112,0.877860956,0.83510913,0.896121396,0.964427775,0.014757672,-0.112503052,-0.168750763,-22.02499771,-20.86249924,-21.91249466,-20.69374847,68.65000534,69.53125763,5.378657487,26.49708532,0.028307997,1.058846354,2.200655795,6.251863055,0.345189601,0.326005369,0.550163949,-0.234583318,0.026094357,0.000809981
855783147,H19.03.308.99.02.06.01.09,H19.03.308.99.02.06.01,H19.03.308.99,H19.03.308,ITG,TemL,culture,culture,DBC,Inh L1-3 SST CALB1,,,,,,,,,,,,2.105781938,-44.98749924,0.00062,0.00052,337.1251542,-160.0949975,-0.378498436,-18.53749847,76.92500114,-61.82702368,10,0.014570157,0.464791656,0.03198,0.725834219,-87.55000305,250.7066131,0.017759465,0.11704,1,,1.873607402,-34.56250381,0.00072,0.00058,249.7343555,-133.2906537,-0.843917066,-58.3125,-58.60000229,,2,0.02414,0.05186,0.05186,0,,2.15264206,-42.42500305,0.00062,0.00052,331.3144476,-153.9106077,0.301788043,0.038150289,0.250930011,0.06334,1.5521,0.102116742,0.092801243,0.017402323,0.255754476,0.255754476,0.065410352,1.358508604,1.34375,0.491018069,0.704275761,0.620049997,0.778143286,0.943324099,0.078817734,-0.71875,-0.275005341,-24.46874619,-19.29375076,-23.74999619,-19.01874542,64.08125496,73.53125381,,19.28268415,0.044506691,,,,,,,,,
