specimen_id,upstroke_downstroke_ratio_ramp,threshold_v_ramp,width_ramp,width_suprathresh_ramp,upstroke_ramp,downstroke_ramp,postap_slope_ramp,threshold_i_ramp,trough_deltav_ramp,fast_trough_deltav_ramp,peak_deltav_ramp,upstroke_downstroke_ratio_short_square,threshold_v_short_square,width_short_square,width_suprathresh_short_square,upstroke_short_square,downstroke_short_square,postap_slope_short_square,fast_trough_deltav_short_square,peak_deltav_short_square,v_baseline,rheobase_i,fi_fit_slope,sag,sag_peak_t,sag_area,vm_for_sag,input_resistance,tau,latency_rheo,avg_rate_rheo,mean_isi_rheo,upstroke_downstroke_ratio_rheo,threshold_v_rheo,width_rheo,width_suprathresh_rheo,upstroke_rheo,downstroke_rheo,postap_slope_rheo,fast_trough_v_last_rheo,adp_v_last_rheo,adapt_hero,avg_rate_hero,latency_hero,mean_isi_hero,median_isi_hero,isi_cv_hero,isi_norm_sq_var_hero,upstroke_downstroke_ratio_hero,threshold_v_hero,width_hero,width_suprathresh_hero,upstroke_hero,downstroke_hero,postap_slope_hero,ahp_delay_ratio_hero,sag_depol,sag_peak_t_depol,sag_area_depol,adapt_mean,isi_cv_mean,isi_norm_sq_var_mean,adapt_max,isi_cv_max,isi_norm_sq_var_max,isi_adapt_ratio,width_adapt_ratio,upstroke_adapt_ratio,downstroke_adapt_ratio,peak_v_adapt_ratio,threshold_v_adapt_ratio,fast_trough_v_adapt_ratio,ahp_delay_ratio_5spike,trough_slowdeltav_rheo,trough_slowdeltav_hero,trough_deltav_rheo,trough_deltav_hero,fast_trough_deltav_rheo,fast_trough_deltav_hero,peak_deltav_rheo,peak_deltav_hero,first_isi_inv_rheo,first_isi_inv_hero,sag_tau,peak_ratio_chirp,peak_freq_chirp,3db_freq_chirp,peak_impedance_chirp,low_freq_impedance_chirp,sync_freq_chirp,phase_peak_chirp,phase_low_chirp,total_inductive_phase_chirp
567737682,5.830875401,-36.15625381,0.00168,0.0015,250.5871295,-42.97590195,-0.634955358,34.75,-13.15625,-12.34374619,77.37500381,5.381543495,-40.25000381,0.00136,0.0013,271.1112011,-50.37796337,0.637375142,-5.218746185,79.93750763,-70.32022388,29.99999809,0.159314358,0.067465916,0.10492,0,-100.40625,309.2447817,0.035360139,0.15168,2,0.0246,5.932700889,-36.25000381,0.00164,0.00144,258.6286395,-43.59374327,-0.745274555,-44.87500381,,0.172754665,9,0.05232,0.1169325,0.14423,0.5431476,0.053105575,5.436303131,-37.53125381,0.00146,0.00136,256.881053,-47.25289353,0.390250779,0.110332399,0.021691466,0.22464,0,0.232873512,0.347074196,0.10644405,0.490856781,1.356520137,0.303743091,39.072,1.328947368,0.793015957,0.756047541,1.002349256,0.885477178,1.029065828,0.023307398,-0.531246185,-0.281246185,-11.93749619,-6.812496185,-11.40625,-6.53125,77.56250381,77.84375763,40.6504065,62.03473945,,,,,,,,,,
567773648,,,,,,,,,,,,3.364930813,-30.84375191,0.00098,0.00086,255.6746706,-75.98214787,-1.262602805,-13.93750191,66.31250572,-60.91753188,29.99999809,0.388806757,0.053183503,0.03892,0,-97,321.7187226,0.015452686,0.10366,6,0.168804,3.213047772,-31.00000191,0.00108,0.00098,234.7939097,-73.07513812,-0.811670001,-41.40625,-40.84375,0.013948849,32,0.02258,0.030974839,0.03292,0.173077945,0.002550971,3.244634363,-31.37500191,0.00102,0.00094,228.0280903,-70.27851669,0.478957674,0.168894289,0.083085306,0.19442,0,0.01702663,0.184614912,0.004442736,0.049973863,0.237778313,0.015752361,1.629037081,1.111111111,0.772093149,0.888116924,0.945236314,0.948588713,0.959660301,0.020550215,-0.343746185,-0.21875,-13.49999809,-8.656248093,-13.15625191,-8.437498093,72.65625572,68.53125191,7.479431563,70.42253521,,,,,,,,,,
569871062,3.581990778,-39.03125381,0.00082,0.00074,364.0580307,-101.6356694,0.27668558,10.25,-17.5,-14.28125,80.96875381,3.508495012,-36.79687691,0.00074,0.00065,375.4047213,-107.1900033,-1.098127313,-16.37500191,76.32812881,-61.51298089,10,0.485665912,0.137212068,0.03604,1.062211875,-99.31250763,430.4687381,0.017163136,0.10638,5,0.19725,3.600936051,-38.78125,0.00078,0.0007,369.8222195,-102.7016904,-1.057867686,-52.96875,,0.008011372,29,0.01742,0.033871429,0.0344,0.106653773,0.000505517,3.39325176,-38.59375,0.00074,0.00066,374.134949,-110.2585294,-0.258203523,0.089037571,0.105976999,0.14176,0,0.019567373,0.166299613,0.006433356,0.068536025,0.294150576,0.026339678,1.256259617,1.128205128,0.892614994,0.900585843,0.979411765,0.961321613,1.017857069,0.079501169,-4.25,-0.40625,-17.96875381,-13.96875,-13.71875381,-13.5625,81.28125,78.15625,6.995942353,39.65107058,0.060962021,,,,,,,,,
571674365,4.348773016,-46.84375381,0.0012,0.00104,298.6620743,-68.67731961,-1.063016264,2.5,-20.43749619,-17.43750381,79.28125763,4.493542869,-49.39062691,0.00108,0.00095,328.2881964,-73.05779789,-0.844305314,-15.24999809,80.31250381,-61.30072343,10,0.277435064,0.010465751,0.30174,0,-99.12500763,514.19276,0.028273572,0.07452,4,0.234106667,4.225763449,-47.40625381,0.00108,0.00092,327.8036036,-77.57263451,-0.917211273,-63.03125763,,0.007958516,20,0.01202,0.050911579,0.0503,0.069764246,0.000418778,4.227012443,-45.9375,0.001,0.00088,329.9940924,-78.06792547,-1.941255031,0.157176952,,,,0.008997137,0.070863839,0.001465364,0.067198279,0.111750443,0.006003273,1.010566242,1.076923077,0.878559887,0.903968851,0.984127045,0.959397435,1.000503586,0.137323127,-3.46875,-3.0625,-18.96874619,-16.90625381,-15.49999619,-13.84375381,80.68750381,77.37500191,4.251339172,22.70663034,,,,,,,,,,
591326904,1.62583378,-24.75000191,0.00048,0.00038,230.6352386,-141.8565917,0.759616134,81.875,-18.62499809,-18.56249809,41.46875191,1.699295786,-31.5,0.0004,0.00034,357.7152146,-210.507916,3.971992992,-14.78125381,59.90625191,-60.82512474,50,0.446267606,0.164463118,0.04524,0,-79.71875,157.5520784,0.012779781,0.06068,2,0.02974,1.783092138,-33.4375,0.00044,0.00038,266.2708225,-149.3309386,2.402107904,-45.375,-44.84375381,0.3007296,8,0.02824,0.128228571,0.1244,0.697074704,0.15192196,1.591616148,-30.40625191,0.00036,0.00032,401.5327123,-252.2798684,5.616835266,0.003520588,0.239497453,0.08628,0,0.080515224,0.209858658,0.03571959,0.3007296,0.697074704,0.15192196,29.20187793,1.111111111,0.833266108,0.91580599,0.95551591,0.784172613,1.006915629,0.003520588,-0.09375,-0.0625,-12.06250381,-14.84375191,-11.96875381,-14.78125191,46.65625,65.53125572,33.62474781,234.741784,,,,,,,,,,
591342863,1.679495075,-35.78125381,0.00066,0.00052,254.0291089,-151.2532622,0.272729729,20,-22.68749619,-22.37499619,64.71875572,1.903141339,-43.59375381,0.0005,0.00044,374.5315538,-196.7964996,-0.662713177,-18.65625,75.59375381,-60.11865346,20,0.790043759,0.103110343,0.0572,0.505862188,-99.71875763,405.9896469,0.016869953,0.05734,11,0.088736,1.889553424,-35.28125381,0.00058,0.00046,294.5480251,-155.8823484,0.100920803,-58.28125381,,0.002579586,54,0.00904,0.018534717,0.01858,0.109097425,0.000550301,1.820785736,-41.90625381,0.00048,0.00042,369.8692262,-203.1371505,1.688031106,0.057522124,0.235270306,0.26448,0,0.004265149,0.107661906,0.003695883,0.03022069,0.200939685,0.032983471,1.031810952,1.068965517,0.920207421,0.971621059,0.956367928,0.992913976,0.999469842,0.022251597,-0.218753815,-0.15625,-23.875,-19.78125,-23.65624619,-19.625,61.78125572,70.71875572,11.36363636,57.87037037,0.04679324,,,,,,,,,
595591249,2.844685677,-38.78125,0.0007,0.00062,323.7190404,-113.7978241,0.342795216,20.875,-14.90625,-14.43750381,73.18750381,2.235081894,-38.96875381,0.00056,0.00048,311.1363637,-139.2058002,-1.748448659,-14.46874619,64.34375572,-60.17553434,20,0.63308823,0.265190214,0.04288,2.013150938,-98.90625763,518.8801885,0.015520941,0.04502,1,,2.81132107,-39.28125381,0.00068,0.00056,326.3623406,-116.0886048,-0.212930452,-53.78125381,-54.18750381,0.038566644,25,0.00856,0.036605833,0.03435,0.423518291,0.014362432,2.228499469,-40.34375,0.00062,0.00056,268.0591635,-120.286842,1.888668852,0.03869969,0.335813642,0.19118,2.229746406,0.058236003,0.360337952,0.038816274,0.246811339,0.817591585,0.167492884,5.697480699,1.205882353,0.84171003,0.83917364,1.129213483,0.949725155,1.000590667,0.006490033,-0.65625,-0.0625,-15.15625,-10.65625381,-14.5,-10.59375381,71.28125381,58.96875,,91.07468124,0.131668711,,,,,,,,,
595597625,3.471039629,-41.8125,0.00078,0.00068,378.0205324,-108.9070056,-1.458765754,10,-19.25000381,-14.34375,81.18750381,3.272026877,-41.65625381,0.00068,0.00062,370.4767702,-113.2254667,-1.020185889,-13.4375,77.18750763,-68.42737045,10,0.422585513,0.067271106,0.362,0,-99.12500763,377.47401,0.044907736,0.18928,1,,3.374495195,-41.875,0.00076,0.00068,370.8378016,-109.8943042,-0.961881815,-54.90625381,,0.042271625,18,0.01842,0.055255294,0.0554,0.335321603,0.012593135,3.258574678,-43.46875,0.00066,0.00058,386.4649742,-118.5993916,0.070531412,0.065756824,0.235257745,0.3241,0,0.018534215,0.1829191,0.004854604,0.042271625,0.335321603,0.012593135,2.094503375,1.303030303,0.759357287,0.74534896,0.963294543,0.933141712,1.002875215,0.065756824,-6.625,0,-19.65625381,-10.87500381,-13.03125381,-10.87500381,81.375,78.37500381,,48.35589942,,,,,,,,,,
595715630,2.293936208,-33.65625,0.00058,0.0005,290.5763779,-126.6715164,-0.728250783,32.875,-14.09375381,-13.62500381,57.40625191,2.317262638,-39.15625,0.00054,0.0005,289.4937893,-124.9292094,-0.870906033,-8.437503815,56.15625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601916922,4.212576992,-41.48437691,0.00156,0.0012,109.3496936,-32.27862705,-0.387664295,7.6875,-10.23437691,-8.3125,28.53125101,3.057250023,-36.84375,0.00108,0.00084,184.8825751,-60.47348883,-1.013556183,-20.15625381,40.96875,-63.02731461,5,0.485986898,0.19414252,0.04378,1.264663281,-101.4687576,568.6486363,0.018335209,0.24606,1,,3.263906671,-41.25,0.00156,0.00118,77.17980474,-23.64644965,-0.327795169,-51.375,,0.007284744,43,0.0138,0.02295,0.02459,0.194083126,0.001311401,3.235616215,-42.87500381,0.0011,0.00102,176.0927353,-54.42324541,0.141406627,0.187218045,,,,0.005609151,0.165484803,0.003124532,0.039667521,0.289364433,0.008637442,0.774300748,1.087719298,0.769125008,0.896608676,1.273584814,0.92225393,0.9596638,0.042368467,-7.125003815,-0.312503815,-17.25000381,-7.4375,-10.125,-7.124996185,25.74999905,47.15625429,,68.49315068,0.120934954,,,,,,,,,
