gene,wilcox_pval_culture,wilcox_bonferroni_pval_culture,log2FC_culture_microglial_vs_not,fraction_expressed_culture_microglial,fraction_expressed_culture,wilcox_pval_acute,wilcox_bonferroni_pval_acute,log2FC_acute_microglial_vs_not,fraction_expressed_acute_microglial,fraction_expressed_acute,used_for_defining_microglial_signature,commom_acute_and_culture_microglial_gene
C1QC,8.40E-81,4.22E-76,6.95532898,0.994,0.177,4.26E-27,2.14E-22,3.457030693,0.927,0.463,TRUE,TRUE
SYNGR2,9.05E-80,4.55E-75,6.097444966,0.989,0.167,2.05E-17,1.03E-12,1.230347312,0.718,0.223,TRUE,TRUE
SRGN,2.15E-79,1.08E-74,7.966812693,0.994,0.24,2.94E-32,1.48E-27,3.343061968,1,0.553,TRUE,TRUE
CD53,2.78E-79,1.40E-74,6.328163899,0.966,0.122,3.94E-28,1.98E-23,3.315384874,0.863,0.293,TRUE,TRUE
CLEC7A,3.46E-79,1.74E-74,6.638435969,0.933,0.056,2.41E-23,1.21E-18,2.648698223,0.806,0.255,FALSE,TRUE
CCRL2,1.58E-78,7.95E-74,8.117678735,0.91,0.038,5.38E-17,2.70E-12,3.178213759,0.508,0.085,TRUE,TRUE
LILRB4,1.72E-78,8.67E-74,7.575979366,0.989,0.222,1.10E-28,5.55E-24,2.863838224,0.895,0.33,TRUE,TRUE
CCL3,2.87E-78,1.44E-73,8.010582983,0.989,0.194,5.65E-26,2.84E-21,2.359696706,0.992,0.787,TRUE,TRUE
MS4A7,9.51E-78,4.78E-73,6.440728521,0.989,0.229,1.41E-31,7.11E-27,3.412822124,0.879,0.239,TRUE,TRUE
OLR1,1.52E-77,7.66E-73,7.678364703,0.949,0.118,3.51E-26,1.77E-21,3.514270622,0.944,0.468,TRUE,TRUE
CXCL8,2.32E-77,1.17E-72,8.577973971,0.983,0.184,7.92E-20,3.98E-15,2.248015865,0.863,0.452,TRUE,TRUE
CXCL16,2.70E-77,1.36E-72,5.913153573,1,0.257,3.73E-25,1.87E-20,2.487208508,0.863,0.34,TRUE,TRUE
CYBA,1.95E-76,9.82E-72,6.206004399,0.994,0.264,3.66E-26,1.84E-21,1.823954886,0.976,0.606,TRUE,TRUE
CCL4,8.46E-76,4.25E-71,8.219430447,0.955,0.142,1.19E-26,6.00E-22,2.568679575,0.984,0.777,TRUE,TRUE
TMEM176B,1.77E-75,8.88E-71,6.277169444,0.961,0.149,6.54E-16,3.29E-11,2.565515189,0.661,0.229,TRUE,TRUE
SLC15A3,2.34E-75,1.18E-70,4.489916205,0.927,0.087,1.84E-18,9.26E-14,2.012975959,0.702,0.202,TRUE,FALSE
LAPTM5,8.31E-75,4.18E-70,6.607152492,1,0.455,1.15E-29,5.77E-25,2.550778678,0.992,0.713,TRUE,TRUE
CLIC1,1.12E-74,5.65E-70,4.469462016,1,0.302,6.08E-24,3.06E-19,2.023225888,0.887,0.399,TRUE,TRUE
CCR1,1.69E-74,8.48E-70,7.21391454,0.888,0.056,2.63E-20,1.32E-15,4.991134757,0.556,0.085,TRUE,TRUE
TNF,3.19E-74,1.60E-69,10.62180771,0.876,0.038,2.49E-24,1.25E-19,3.413840587,0.863,0.34,TRUE,TRUE
MS4A4A,4.94E-74,2.48E-69,5.200678892,0.955,0.146,4.20E-16,2.11E-11,2.157460098,0.452,0.064,TRUE,TRUE
CD14,8.83E-74,4.44E-69,7.181051844,0.989,0.316,1.77E-14,8.88E-10,3.845768202,0.613,0.234,TRUE,TRUE
C1QB,9.76E-74,4.91E-69,6.658584787,0.989,0.299,8.46E-27,4.25E-22,3.067296935,0.984,0.676,TRUE,TRUE
FCGR3A,1.74E-73,8.74E-69,7.212116011,0.916,0.097,2.26E-20,1.14E-15,2.55603816,0.71,0.186,TRUE,TRUE
UNC93B1,2.35E-73,1.18E-68,5.734380837,0.921,0.094,5.06E-16,2.54E-11,2.117514719,0.605,0.17,TRUE,TRUE
TYROBP,2.75E-73,1.38E-68,5.172290315,1,0.337,1.21E-28,6.10E-24,2.400940924,0.992,0.697,TRUE,TRUE
GM2A,7.66E-73,3.85E-68,4.964910464,0.983,0.236,8.91E-16,4.48E-11,1.539761033,0.677,0.229,TRUE,FALSE
